time,symbol,open,high,low,close,volume
2026-03-02T13:01:00Z,NVDA,174.29,174.29,174.29,174.29,330
2026-03-02T13:04:00Z,SPY,678.64,678.7,678.64,678.7,260
2026-03-02T13:05:00Z,SPY,678.67,678.67,678.67,678.67,100
2026-03-02T13:06:00Z,NVDA,174.25,174.25,174.25,174.25,970
2026-03-02T13:10:00Z,SPY,679.28,679.29,679.28,679.29,120
2026-03-02T13:11:00Z,SPY,679.43,679.49,679.43,679.49,595
2026-03-02T13:18:00Z,SPY,679.16,679.16,679.16,679.16,40
2026-03-02T13:21:00Z,SPY,680.13,680.13,680.13,680.13,280
2026-03-02T13:22:00Z,SPY,680.46,680.62,680.46,680.62,358
2026-03-02T13:23:00Z,NVDA,174.89,174.89,174.89,174.89,585
2026-03-02T13:24:00Z,SPY,680.45,680.45,680.45,680.45,50
2026-03-02T13:29:00Z,SPY,679.74,679.74,679.74,679.74,125
2026-03-02T13:33:00Z,SPY,679.43,679.43,679.43,679.43,215
2026-03-02T13:37:00Z,NVDA,174.83,174.83,174.83,174.83,100
2026-03-02T13:49:00Z,SPY,679.25,679.25,679.25,679.25,60
2026-03-02T13:51:00Z,SPY,679.02,679.03,679.02,679.03,215
2026-03-02T13:52:00Z,SPY,678.83,678.83,678.82,678.82,220
2026-03-02T13:55:00Z,AMD,195.32,195.32,195.3,195.3,340
2026-03-02T13:59:00Z,SPY,678.24,678.24,678.24,678.24,125
2026-03-02T14:01:00Z,SPY,678.21,678.21,678.21,678.21,155
2026-03-02T14:06:00Z,AMD,194.75,194.75,194.75,194.75,100
2026-03-02T14:07:00Z,AMD,194.75,194.75,194.75,194.75,200
2026-03-02T14:11:00Z,AMD,194.11,194.11,194.11,194.11,251
2026-03-02T14:11:00Z,SPY,678.63,678.64,678.59,678.59,226
2026-03-02T14:13:00Z,AMD,194.0,194.0,194.0,194.0,185
2026-03-02T14:30:00Z,AMD,193.845,193.985,190.0,191.09,20392
2026-03-02T14:30:00Z,NVDA,174.81,176.59,174.75,176.42,36483
2026-03-02T14:30:00Z,SPY,678.73,679.27,678.03,679.16,13606
2026-03-02T14:31:00Z,AMD,190.95,193.71,190.95,193.69,10658
2026-03-02T14:31:00Z,NVDA,176.65,177.89,176.65,177.71,38901
2026-03-02T14:31:00Z,SPY,679.22,680.14,679.13,680.05,12993
2026-03-02T14:32:00Z,AMD,193.42,194.39,193.39,194.3,9093
2026-03-02T14:32:00Z,NVDA,177.66,178.3,177.27,178.255,27788
2026-03-02T14:32:00Z,SPY,680.02,680.6,679.71,680.41,11697
2026-03-02T14:33:00Z,AMD,194.55,194.77,194.325,194.59,12585
2026-03-02T14:33:00Z,NVDA,178.22,178.97,178.14,178.8,50844
2026-03-02T14:33:00Z,SPY,680.35,680.75,680.35,680.52,10490
2026-03-02T14:34:00Z,AMD,194.46,195.08,194.26,194.525,12968
2026-03-02T14:34:00Z,NVDA,178.76,179.24,178.53,179.02,38921
2026-03-02T14:34:00Z,SPY,680.46,681.47,680.37,681.2,8623
2026-03-02T14:35:00Z,AMD,194.49,195.0,193.9,194.89,5159
2026-03-02T14:35:00Z,NVDA,179.09,179.21,178.58,179.17,21410
2026-03-02T14:35:00Z,SPY,681.21,681.58,681.01,681.57,12115
2026-03-02T14:36:00Z,AMD,194.8,195.3,194.67,194.76,6811
2026-03-02T14:36:00Z,NVDA,179.16,179.74,179.06,179.68,33108
2026-03-02T14:36:00Z,SPY,681.65,682.01,681.51,681.71,11267
2026-03-02T14:37:00Z,AMD,194.78,195.06,194.58,194.58,5820
2026-03-02T14:37:00Z,NVDA,179.74,179.92,179.5,179.515,56480
2026-03-02T14:37:00Z,SPY,681.84,682.46,681.84,681.92,12343
2026-03-02T14:38:00Z,AMD,194.55,194.58,194.085,194.15,2817
2026-03-02T14:38:00Z,NVDA,179.56,179.725,179.24,179.63,30038
2026-03-02T14:38:00Z,SPY,681.84,681.99,681.27,681.57,11114
2026-03-02T14:39:00Z,AMD,194.13,194.13,193.02,193.02,3283
2026-03-02T14:39:00Z,NVDA,179.65,179.73,178.95,179.13,30169
2026-03-02T14:39:00Z,SPY,681.7,681.78,680.84,681.02,15872
2026-03-02T14:40:00Z,AMD,192.93,193.39,191.89,192.0,22537
2026-03-02T14:40:00Z,NVDA,179.06,179.49,178.84,178.94,29550
2026-03-02T14:40:00Z,SPY,681.0,681.715,681.0,681.12,8015
2026-03-02T14:41:00Z,AMD,191.955,192.73,191.9,192.73,9489
2026-03-02T14:41:00Z,NVDA,179.0,179.6,179.0,179.46,34947
2026-03-02T14:41:00Z,SPY,681.15,681.71,681.11,681.39,2211
2026-03-02T14:42:00Z,AMD,193.18,193.36,192.88,193.11,5572
2026-03-02T14:42:00Z,NVDA,179.48,179.95,179.48,179.77,57202
2026-03-02T14:42:00Z,SPY,681.43,681.91,681.43,681.79,7700
2026-03-02T14:43:00Z,AMD,193.23,193.38,193.03,193.03,2644
2026-03-02T14:43:00Z,NVDA,179.77,180.01,179.27,179.71,27118
2026-03-02T14:43:00Z,SPY,681.83,682.08,681.32,681.68,6288
2026-03-02T14:44:00Z,AMD,193.37,194.11,193.37,193.83,4651
2026-03-02T14:44:00Z,NVDA,179.595,180.06,179.535,179.55,25453
2026-03-02T14:44:00Z,SPY,681.46,682.32,681.38,682.05,11721
2026-03-02T14:45:00Z,AMD,193.68,194.145,193.455,193.78,6970
2026-03-02T14:45:00Z,NVDA,179.52,179.96,179.295,179.6,18834
